Emotion,Text
Other,cho mình xin bài nh?c tên là gì v?i ?
Disgust,cho ?áng ??i con qu? . v? nhà lôi con nhà mày ra mà ?ánh
Disgust,lo h?c ?i . yêu ???ng lol gì hay l?i thích h?c sinh h?c
Enjoyment,u?c gì sau này v? già v?n có th? nh? c? này :))
Enjoyment,m?i l?n có video c?a con là c? coi ?i coi l?i hoài . c?ng con quá .
Anger,th?ng kia sao mày b?t v? v?i b? tao d?n th? kia . nhà mày ? ?âu tao ??n th?t mày ch?t
Other,m?t lí do trog muôn vàn lí do
Surprise,th?t hay ?ùa ác v?y . không th? tin ???c
Anger,"ko ph?i con mình , mà xem còn th?y ?au nh? v?y hu?ng gì ng??i trong cu?c . th?t là ph?n n? mà . c? quan ch?c n?ng làm vi?c quá ch?m tr? , ??n gi? mà v?n ch?a tìm ra ng??i ch?u trách nhi?m"
Sadness,per nghe ?i r?i khóc 1 tr?n cho tho?i mái . ??ng c? g?ng mình lên n?a
Enjoyment,công nh?n sáng t?o th?t ??y
Disgust,?òn t?n công c?c g?t và c?c sút c?a anh
Other,tr?i n?ng nóng th? này mình mu?n bán n??c không bi?t thu nh?p có cao không ? :3
Enjoyment,minh bi?t n?a ne
Disgust,m?y th?ng c? lol vi?t nam nh?m nhí :))
Sadness,"tui thi ? ch va ? i l? ? mày ma ? ?n nh? ? u no ? ng??i l? ? mày m?i ng??i anh ? , bi ? l? ? miê ? ng??i"
Other,"b?p d?u , nhi?u nhà v?n dùng"
Other,n?u th?y ph? n? quá ph?c t?p ?? hi?u và chinh ph?c thì ?ây là cách gi?i quy?t v?n ??
Fear,"th?i bu?i bây ch? chuy?n gì c?ng có th? x?y ra , v?y nên thôi tr?t , ??ng nên tin ai"
Enjoyment,sau em này mà làm cô giáo ng?i k? chuy?n hs l?i há m?m ra nghe
Anger,"con chó ??ng video , mày b? ngu à mà m?i m?u l?i hi?n ch? ?n c?c à"
Disgust,coi video ch?a hi?u gì ?ã làm ?m lên
Enjoyment,ch? mong gì nhi?u ch? mong v? già ???c nh? hai ông bà !
Enjoyment,yêu ch?t ?i ???c .
Sadness,mày ??nh l??t qua r?i nh?ng khi ??c bình lu?n c?a các b?n và xem k? l?i thì mày ?ã r?t n??c m?t... ng??i cha th?t v? ??i
Sadness,xin ?i ch?i v?i b?n ngày t?ng k?t không cho c? b?t h?c mi?t :)) khá m?t
Anger,cá nhân mình ngh? nó d?ng hay ?? ?úng sai thì ?ã có ca p?t còn nó ?? tr??c c?a nhà mình mà oto hay xe không ra vào ???c thì lúc ?ó m?i ? ki?n . công nh?n b?n oto ?? tr??c nhà nhìn ch? mu?n ??t
Fear,t? ??u n?m gi? ch?c ch?p 10 l?n r?i huhu s? quá
Fear,t g?p qu? này thì b? xe mà ch?y ??
Other,th? con trai là c?a ai cho
Surprise,per ?ây mí chính là c? t? c?a nh?ng chi?c s?ng này
Fear,mu?n share v? mà s? b? b?n nè ph?n n? quá
Sadness,"h?i h?c l?p 5 b?o b? ?i mua sgk cho , xong b? ?i mua nguyên b? l?p 4 ??y ?? t? sgk ??n v? bài t?p"
Sadness,nay bu?n :(((
Fear,"cv không áp l?c , môi tr??ng xung quanh m?i d? t?o áp l?c"
Enjoyment,ai có link nh?c m?y bài trên không ? hay vãi ra
Other,?ây ng??i ta g?i là . khi ??i thánh nh?p ho?c là múa lân ??u n?m
Other,ph?i b?i th??ng thi?t h?i b? tr?y x??c thân tàu . ti?n s?n l?i m?y toa tàu ch?c c?ng b?n .
Sadness,làm công nhân ?ã b? v?t ki?t s?c kh?e cho ??n khi b? th?i
Enjoyment,khi nào ph??ng có ch? ?? phát ch?ng khi mang thân ??n ??ng kí k?t hôn t? nguy?n
Anger,?éo ???c tích s? gì
Sadness,haizzz ... th? là ch?a có kq gì t?t ??p c? ..
Sadness,b?n thân c? g?ng c?ng ch?ng d? dàng gì :((
Disgust,"nói chung là 1 l? l?a g?t thôi , vi?t nam mình là v?y ?ó"
Other,th? em ?n c?m ch?a ?
Other,"thu tr?m t? ph?t 5tr , l?i qua t?nh khác hành ngh? ha ha"
Disgust,ch? y?u là b?n tr? ?ú v?i b?n dân trí th?p mà thích th? hi?n bác nh?
Anger,mày coi ch?ng có ngày tao dã dô m?t mày nh? dz?y
Surprise,canh th?i gian ??ng ?úng vãi !
Disgust,quan tr?ng m?y th?ng ?ó có ch?n mj không . ng?i ?ó mà ?o t??ng
Sadness,h?c xong 12 nh? h?t thanh xuân có l? ph?i b? l? 1 ng??i
Sadness,mình thi xong còn không khóc ???c
Enjoyment,"m?i ngày mình ôm nhau 1 cái nh? này hén , hí hí"
Sadness,"per tr? ?i?m , tr? ?i?m"
